GO ID	P-Value
GO:0006733	0.0021964421054611488
GO:0050832	0.002220684465801041
GO:0010224	0.0023166133862278847
GO:0046128	0.0023338421182342015
GO:0022857	0.0023689760424955714
GO:0033993	0.002424696145791312
GO:0046496	0.0024384899426964993
GO:0019318	0.0024384899426964993
GO:1901657	0.0024595796720031514
GO:0042278	0.0024777765113064352
GO:0044765	0.00247780636233462
GO:0042440	0.0024991810072758133
GO:0043623	0.002527121598164895
GO:0016192	0.002527121598164895
GO:0016635	0.002531828420460029
GO:0010628	0.0025370397648904666
GO:0010557	0.0025370397648904666
GO:0006266	0.002531828420460029
GO:0009150	0.002552257674830554
GO:0031328	0.0026140030396266754
GO:1902578	0.002655278042492668
GO:0016042	0.0026531128010398087
GO:0048519	0.0026802060257084454
GO:0016746	0.0026802060257084454
