GO ID	P-Value
GO:0009755	2.9047899867312563E-4
GO:0005991	3.0781807421578457E-4
GO:0044445	3.0844429984530007E-4
GO:0042743	3.0955037669910704E-4
GO:0048492	3.2430080738595456E-4
GO:0006782	3.2430080738595456E-4
GO:0046501	3.2430080738595456E-4
GO:0009573	3.2430080738595456E-4
GO:0032870	3.253107859858221E-4
GO:0006665	3.317534837625294E-4
GO:0042744	3.317534837625294E-4
GO:0071495	3.3142837444466265E-4
GO:0046351	3.3661831148285135E-4
GO:0016125	3.474700630387534E-4
GO:0015935	3.474700630387534E-4
GO:0044702	3.512739015058334E-4
GO:0040008	3.504644466422733E-4
GO:0033554	3.512739015058334E-4
GO:0044765	3.6289522530044135E-4
GO:0016787	3.633480246309954E-4
GO:0019203	3.670983617701704E-4
GO:0005739	3.930504777845549E-4
GO:1902578	3.97318449423361E-4
GO:0022900	3.968681323925192E-4
GO:0016310	4.0545486812705345E-4
GO:0007154	4.247654639937239E-4
GO:0046556	4.3126761689819864E-4
GO:0042446	4.3413707979816235E-4
GO:0030054	4.4250672595497854E-4
GO:0009506	4.4250672595497854E-4
GO:0005911	4.4250672595497854E-4
GO:0055044	4.4250672595497854E-4
GO:0009636	4.444229623235525E-4
GO:0006631	4.49114600282596E-4
GO:0005759	4.531582775498821E-4
GO:0019843	4.929700743782387E-4
GO:0006813	4.929700743782387E-4
GO:0006664	5.120711074200675E-4
GO:1901136	5.352094849541034E-4
GO:0016049	5.367276092743962E-4
GO:0005763	5.530339186592628E-4
GO:0048585	5.572652791932139E-4
GO:0090066	5.572652791932139E-4
GO:0032535	5.572652791932139E-4
GO:0005761	5.874826362355277E-4
GO:0051641	6.336589698859607E-4
GO:0000902	6.580964322916149E-4
GO:1903509	6.702623765730245E-4
GO:0010114	6.761532978163011E-4
GO:0017177	6.894814695240667E-4
GO:0019253	6.894814695240667E-4
GO:0010604	7.412906587375452E-4
GO:0006694	7.618399840615207E-4
GO:1901615	7.64526421630836E-4
GO:0072598	7.72921150901334E-4
GO:0072596	7.72921150901334E-4
GO:0045036	7.72921150901334E-4
GO:0072593	7.812217820256602E-4
GO:0031325	8.016596760810637E-4
GO:0060560	8.009690478024675E-4
GO:0009743	8.009690478024675E-4
GO:0009414	8.442575447997798E-4
GO:0010218	8.780691509678633E-4
GO:0043207	8.926294918121847E-4
GO:0051707	8.926294918121847E-4
GO:0016831	9.058104423425739E-4
GO:0006643	9.273713525382146E-4
GO:0016226	9.377413576667129E-4
GO:0031163	9.377413576667129E-4
GO:0048366	9.49799147470428E-4
GO:0008289	9.49799147470428E-4
GO:0032268	9.660915900356086E-4
GO:0048588	9.704558438648986E-4
GO:0032989	9.994622846523217E-4
GO:0051246	0.0010290348548814402
GO:0005886	0.0010382475101311604
GO:0009415	0.0010734051482272824
GO:0098542	0.001093166261101022
GO:0009126	0.0011088507048380757
GO:0009167	0.0011088507048380757
GO:0009750	0.0011145965588711991
GO:0016853	0.0011226209732408993
GO:0009607	0.0011642046209692297
GO:0008202	0.0011702121002169765
GO:0004066	0.001185739661761744
GO:0006529	0.001185739661761744
GO:0090599	0.001185739661761744
GO:0044724	0.0011934639142638051
GO:0009893	0.0012151550885698247
GO:0071669	0.0012514599330566074
GO:0048583	0.0012786523828973721
GO:0036094	0.0012968845465917268
GO:0048522	0.001314381539141127
GO:0051649	0.0013204549413327522
GO:0048468	0.0013368012294160598
GO:0000314	0.0013797437197595479
GO:0000795	0.0013797437197595479
GO:0016984	0.0013797437197595479
GO:0099086	0.0013797437197595479
GO:0010410	0.0013850148348369406
GO:0009312	0.0014621188285483383
GO:0009161	0.001461762819428602
GO:0007165	0.0014568892485466451
GO:0009123	0.0015313361020839467
GO:0005506	0.0015879060884047102
GO:0034654	0.001589058609217302
GO:0006354	0.0016180558965241654
GO:0030203	0.0017051861435115943
GO:0044700	0.0017106781232740075
GO:0006355	0.0017608932117624302
GO:0023052	0.0017742162897705152
GO:0046128	0.0017757577269034955
GO:0034284	0.0017840184907248458
GO:0009746	0.0017840184907248458
GO:1903506	0.0017962355508535524
GO:2001141	0.0017962355508535524
GO:0042548	0.001809939110682047
GO:0042278	0.0018984838765812957
GO:0009150	0.001962304530648285
GO:0098869	0.002017726975207874
GO:1990748	0.002017726975207874
GO:0043467	0.002045902923381684
GO:0010073	0.0020734037293803492
GO:0016746	0.002072417907762472
GO:0009664	0.002130132212078584
GO:0001101	0.002155927935553892
GO:0010383	0.002187922483730457
GO:0006757	0.0022666134074949325
GO:0046031	0.0022666134074949325
GO:0006096	0.0022666134074949325
GO:0006528	0.0022956269282573003
GO:0042646	0.0022956269282573003
GO:0009135	0.0023098224026627274
GO:0009179	0.0023098224026627274
GO:0009185	0.0023098224026627274
GO:1901265	0.0023966051464734627
GO:0000166	0.0023966051464734627
GO:0044036	0.0024430448022015015
GO:0046983	0.0024688517821457594
GO:0006022	0.002493150903327387
GO:0006633	0.0025349038232263324
GO:0048518	0.002535903536299794
GO:0098754	0.002557521638961447
GO:0032879	0.0026230237972756473
GO:0051171	0.0026575860083250798
GO:0034754	0.002660773222246889
GO:0006163	0.0026704090901980434
GO:0006165	0.002677354390796075
GO:0031090	0.0027433955268517107
GO:0009119	0.0027819748403739015
GO:0030243	0.002826416899183146
GO:0015934	0.0028965426702214562
GO:0015672	0.0029163687580759674
GO:0051252	0.0029231780784137584
GO:2000112	0.002928619983007155
GO:0046034	0.002985054709233062
GO:0010556	0.0029806906337433133
GO:0009699	0.0030024155025255893
GO:0017171	0.0030321671747389842
GO:0009733	0.0030403445134568807
GO:0009826	0.0030403445134568807
GO:0009617	0.0030403445134568807
GO:0008236	0.0030321671747389842
GO:0006094	0.003085488346652626
GO:0046487	0.003121991648502394
GO:0009132	0.0031394823287239494
GO:0019319	0.0031394823287239494
GO:0009250	0.003194153917367735
GO:0031326	0.0032528430277817917
GO:0072521	0.003362283892850435
GO:0031969	0.0033698213709976712
GO:0012505	0.003385884464427936
GO:0006541	0.0034981183195086315
GO:0009205	0.003501139765746177
GO:0046364	0.0035366817236129897
GO:0009116	0.003529853474871866
GO:0043085	0.0035366817236129897
GO:0009144	0.003580080308971926
GO:0044093	0.003596230778524479
GO:0010468	0.0035912338553209574
GO:0009889	0.0036219986579409634
GO:0006531	0.003629364912155089
